GNPS Annotation	Chemical	Attribute	Term	Observations	Total Files  	Percentage
Cholic acid	Cholic acid	LifeStage	not specified	2	4	0.5
Cholic acid	Cholic acid	BiologicalSex	male	1049	2264	0.463339223
Cholic acid	Cholic acid	DOIDCommonName	primary bacterial infectious disease	30	66	0.454545455
Cholic acid	Cholic acid	HealthStatus	acute illness	30	66	0.454545455
Cholic acid	Cholic acid	TermsofPosition	not collected	30	66	0.454545455
Cholic acid	Cholic acid	SampleTypeSub1	biofluid	2173	4976	0.436696141
Cholic acid	Cholic acid	IonizationSourceAndPolarity	electrospray ionization (positive)	2173	5081	0.427671718
Cholic acid	Cholic acid	ChromatographyAndPhase	reverse phase (C18)	2173	5114	0.424912006
Cholic acid	Cholic acid	NCBITaxonomy	9606|Homo sapiens	2173	5114	0.424912006
Cholic acid	Cholic acid	SampleType	animal	2173	5114	0.424912006
Cholic acid	Cholic acid	UBERONBodyPartName	feces	2173	5114	0.424912006
Cholic acid	Cholic acid	TermsofPosition	not applicable	2143	5048	0.424524564
Cholic acid	Cholic acid	YearOfAnalysis	2017	1770	4272	0.414325843
Cholic acid	Cholic acid	LifeStage	Adolescence (8 yrs < x <= 18 yrs)	69	169	0.408284024
Cholic acid	Cholic acid	SampleExtractionMethod	ethanol-water (9:1)	1794	4423	0.405607054
Cholic acid	Cholic acid	SampleCollectionMethod	"swabs, dry"	1899	4696	0.404386712
Cholic acid	Cholic acid	MassSpectrometer	impact HD|MS:1002667	1593	3971	0.401158398
Cholic acid	Cholic acid	BiologicalSex	female	938	2372	0.39544688
Cholic acid	Cholic acid	BiologicalSex	not collected	185	477	0.387840671
Cholic acid	Cholic acid	MassSpectrometer	Q Exactive|MS:1001911	248	696	0.356321839
Cholic acid	Cholic acid	HealthStatus	not applicable	92	262	0.351145038
Cholic acid	Cholic acid	HealthStatus	chronic illness	47	140	0.335714286
Cholic acid	Cholic acid	HealthStatus	unhealthy (NOS)	414	1686	0.245551601
Cholic acid	Cholic acid	HumanPopulationDensity	Urban	815	3470	0.234870317
Cholic acid	Cholic acid	LifeStage	Early Childhood (2 yrs < x <=8 yrs)	20	93	0.215053763
Cholic acid	Cholic acid	DOIDCommonName	disease NOS	242	1428	0.169467787
Cholic acid	Cholic acid	YearOfAnalysis	2016	5	31	0.161290323
Cholic acid	Cholic acid	LifeStage	Early Adulthood (18 yrs < x <= 45 yrs)	139	995	0.139698492
Cholic acid	Cholic acid	DOIDCommonName	inflammatory bowel disease	11	84	0.130952381
Cholic acid	Cholic acid	LifeStage	Later Adulthood (>65 yrs)	40	325	0.123076923
Cholic acid	Cholic acid	LifeStage	Middle Adulthood (45 yrs < x <= 65 yrs)	113	933	0.121114684
Cholic acid	Cholic acid	DOIDCommonName	not applicable	2	132	0.015151515
Cholic acid	Cholic acid	DOIDCommonName	sleep deprivation	0	55	0
Cholic acid	Cholic acid	HumanPopulationDensity	not applicable	0	63	0
Cholic acid	Cholic acid	IonizationSourceAndPolarity	electrospray ionization (negative)	0	33	0
Cholic acid	Cholic acid	SampleExtractionMethod	acetonitrile (100%)	0	6	0
Cholic acid	Cholic acid	SampleExtractionMethod	acetonitrile-isopropanol-water (3:3:2)	0	6	0
Cholic acid	Cholic acid	SampleExtractionMethod	acetonitrile-water (7:3)	0	6	0
Cholic acid	Cholic acid	SampleExtractionMethod	ethanol-water (1:1)	0	6	0
Cholic acid	Cholic acid	SampleExtractionMethod	methanol (100%)	0	6	0
Cholic acid	Cholic acid	SampleExtractionMethod	methanol-acetonitrile (3:7)	0	6	0
Cholic acid	Cholic acid	SampleExtractionMethod	methanol-water (3:2)	0	6	0
Cholic acid	Cholic acid	SampleExtractionMethod	methanol-water (4:1)	0	6	0
Cholic acid	Cholic acid	SampleExtractionMethod	methanol-water (7:3)	0	6	0
Cholic acid	Cholic acid	SampleExtractionMethod	methanol-water (9:1)	0	3	0
Cholic acid	Cholic acid	SampleTypeSub1	tissue	0	138	0
Cholic acid	Cholic acid	YearOfAnalysis	2019	0	63	0
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	SampleExtractionMethod	acetonitrile-isopropanol-water (3:3:2)	6	6	1
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	SampleExtractionMethod	ethanol-water (1:1)	6	6	1
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	SampleExtractionMethod	methanol (100%)	6	6	1
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	SampleExtractionMethod	methanol-acetonitrile (3:7)	6	6	1
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	SampleExtractionMethod	methanol-water (3:2)	6	6	1
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	SampleExtractionMethod	methanol-water (4:1)	6	6	1
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	SampleExtractionMethod	methanol-water (7:3)	6	6	1
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	SampleExtractionMethod	methanol-water (9:1)	3	3	1
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	HumanPopulationDensity	not applicable	61	63	0.968253968
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	YearOfAnalysis	2019	61	63	0.968253968
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	SampleExtractionMethod	acetonitrile (100%)	5	6	0.833333333
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	SampleExtractionMethod	acetonitrile-water (7:3)	5	6	0.833333333
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	DOIDCommonName	inflammatory bowel disease	61	84	0.726190476
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	SampleTypeSub1	tissue	61	138	0.442028986
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	HealthStatus	chronic illness	61	140	0.435714286
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	SampleCollectionMethod	"solid material, fresh"	61	397	0.153652393
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	MassSpectrometer	Q Exactive|MS:1001911	61	696	0.087643678
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	LifeStage	Middle Adulthood (45 yrs < x <= 65 yrs)	67	933	0.071811361
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	BiologicalSex	male	71	2264	0.031360424
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	LifeStage	Later Adulthood (>65 yrs)	6	325	0.018461538
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	TermsofPosition	not applicable	74	5048	0.014659271
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	IonizationSourceAndPolarity	electrospray ionization (positive)	74	5081	0.014564062
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	ChromatographyAndPhase	reverse phase (C18)	74	5114	0.014470082
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	NCBITaxonomy	9606|Homo sapiens	74	5114	0.014470082
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	SampleType	animal	74	5114	0.014470082
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	UBERONBodyPartName	feces	74	5114	0.014470082
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	SampleExtractionMethod	methanol-water (1:1)	6	634	0.009463722
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	DOIDCommonName	disease NOS	10	1428	0.007002801
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	HealthStatus	unhealthy (NOS)	10	1686	0.005931198
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	HumanPopulationDensity	Urban	13	3470	0.003746398
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	MassSpectrometer	impact HD|MS:1002667	13	3971	0.003273735
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	YearOfAnalysis	2017	13	4272	0.003043071
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	SampleExtractionMethod	ethanol-water (9:1)	13	4423	0.002939182
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	SampleCollectionMethod	"swabs, dry"	13	4696	0.002768313
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	SampleTypeSub1	biofluid	13	4976	0.00261254
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	BiologicalSex	female	3	2372	0.001264755
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	DOIDCommonName	no disease reported	3	2960	0.001013514
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	HealthStatus	healthy	3	2960	0.001013514
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	LifeStage	Early Adulthood (18 yrs < x <= 45 yrs)	1	995	0.001005025
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	BiologicalSex	not applicable	0	1	0
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	BiologicalSex	not collected	0	477	0
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	DOIDCommonName	Crohn's disease	0	197	0
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	DOIDCommonName	diabetes mellitus	0	56	0
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	DOIDCommonName	not applicable	0	132	0
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	DOIDCommonName	primary bacterial infectious disease	0	66	0
"Massbank:EA280204 Rosuvastatin|(E,3R,5R)-7-[4-(4-fluorophenyl)-2-(methyl-methylsulfonylamino)-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyhept-6-enoic acid"	Rosuvastatin	DOIDCommonName	sleep deprivation	0	55	0
