GNPS_annotation	Curated_GNPS_Annotation	Inchi_whole string	SMILES_canonical	Structural_Class	Structural_Subclass	Structural_Subclass2	Source_GFOP	Source	Source_Sub1	Source_Sub2	Drug_Info_1	Drug_Info_2	Bioactivity_boolean	Bioactivity_Known	Origin_Known	Sample_Type_Detected_In_Food	Sample_Type_Detected_In_HumanFeces	Project_Vital_Foodomics	Project_Vital_AGP1	Comment	Reference
.alpha.-Muricholic acid	Hyocholic acid	InChI=1S/C24H40O5/c1-13(4-7-19(26)27)15-5-6-16-20-17(9-11-23(15,16)2)24(3)10-8-14(25)12-18(24)21(28)22(20)29/h13-18,20-22,25,28-29H,4-12H2,1-3H3,(H,26,27)/t13-,14-,15-,16+,17+,18+,20+,21-,22+,23-,24-/m1/s1	CC(CCC(=O)O)C1CCC2C1(CCC3C2C(C(C4C3(CCC(C4)O)C)O)O)C	lipid	bile acid	secondary bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/92805#section=Top
.beta.-Muricholic acid	Hyocholic acid	InChI=1S/C24H40O5/c1-13(4-7-19(26)27)15-5-6-16-20-17(9-11-23(15,16)2)24(3)10-8-14(25)12-18(24)21(28)22(20)29/h13-18,20-22,25,28-29H,4-12H2,1-3H3,(H,26,27)/t13-,14-,15-,16+,17+,18+,20+,21-,22+,23-,24-/m1/s1	CC(CCC(=O)O)C1CCC2C1(CCC3C2C(C(C4C3(CCC(C4)O)C)O)O)C	lipid	bile acid	secondary bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/92805#section=Top
.gamma.-Muricholic acid	Hyocholic acid	InChI=1S/C24H40O5/c1-13(4-7-19(26)27)15-5-6-16-20-17(9-11-23(15,16)2)24(3)10-8-14(25)12-18(24)21(28)22(20)29/h13-18,20-22,25,28-29H,4-12H2,1-3H3,(H,26,27)/t13-,14-,15-,16+,17+,18+,20+,21-,22+,23-,24-/m1/s1	CC(CCC(=O)O)C1CCC2C1(CCC3C2C(C(C4C3(CCC(C4)O)C)O)O)C	lipid	bile acid	secondary bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/92805#section=Top
.beta.-Hyodeoxycholic acid	Hyodeoxycholic acid	InChI=1S/C24H40O4/c1-14(4-7-22(27)28)17-5-6-18-16-13-21(26)20-12-15(25)8-10-24(20,3)19(16)9-11-23(17,18)2/h14-21,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15-,16+,17-,18+,19+,20+,21+,23-,24-/m1/s1	CC(CCC(=O)O)C1CCC2C1(CCC3C2CC(C4C3(CCC(C4)O)C)O)C	lipid	bile acid	secondary bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/Hyodesoxycholic_acid
Spectral Match to Hyodeoxycholic acid from NIST14	Hyodeoxycholic acid	InChI=1S/C24H40O4/c1-14(4-7-22(27)28)17-5-6-18-16-13-21(26)20-12-15(25)8-10-24(20,3)19(16)9-11-23(17,18)2/h14-21,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15-,16+,17-,18+,19+,20+,21+,23-,24-/m1/s1	CC(CCC(=O)O)C1CCC2C1(CCC3C2CC(C4C3(CCC(C4)O)C)O)C	lipid	bile acid	secondary bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/Hyodesoxycholic_acid
Spectral Match to Lithocholic acid from NIST14	Lithocholic acid	InChI=1S/C24H40O3/c1-15(4-9-22(26)27)19-7-8-20-18-6-5-16-14-17(25)10-12-23(16,2)21(18)11-13-24(19,20)3/h15-21,25H,4-14H2,1-3H3,(H,26,27)/t15-,16-,17-,18+,19-,20+,21+,23+,24-/m1/s1	CC(CCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C	lipid	bile acid	secondary bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/9903;https://en.wikipedia.org/wiki/Lithocholic_acid
Pyochelin	Pyochelin	InChI=1S/C14H16N2O3S2/c1-16-10(14(18)19)7-21-13(16)9-6-20-12(15-9)8-4-2-3-5-11(8)17/h2-5,9-10,13,15H,6-7H2,1H3,(H,18,19)/b12-8+/t9-,10+,13?/m1/s1	CN1C(CSC1C2CSC(=C3C=CC=CC3=O)N2)C(=O)O	other	metal chelator	siderophore	bacteria	bacteria	bacteria produced	Psuedomonas metabolite						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/Pyochelin
Spectral Match to PyroGlu-Ile from NIST14	PyroGlu-Ile	InChI=1S/C11H18N2O4/c1-3-6(2)9(11(16)17)13-10(15)7-4-5-8(14)12-7/h6-7,9H,3-5H2,1-2H3,(H,12,14)(H,13,15)(H,16,17)	CCC(C)C(C(=O)O)NC(=O)C1CCC(=O)N1	amino acid / peptide	dipeptide	pyro dipeptide	multiple sources	bacteria	bacteria produced	Lactobacillus metabolite						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/21405068#section=IUPAC-Name;https://www.nature.com/articles/ja2013126
Spectral Match to PyroGlu-Phe from NIST14	PyroGlu-Phe			amino acid / peptide	dipeptide	pyro dipeptide	multiple sources	bacteria	bacteria produced	Lactobacillus metabolite						yes	yes	yes	yes		https://www.nature.com/articles/ja2013126
PyroGlu-Trp	PyroGlu-Trp			amino acid / peptide	dipeptide	pyro dipeptide	multiple sources	bacteria	bacteria produced	Lactobacillus metabolite						yes	yes	yes	yes		https://www.nature.com/articles/ja2013126
Rha-Rha-C10-C10 (M+H)	Rha-Rha-C10-C10			lipid		rhamnolipid	bacteria	bacteria	bacteria produced	Psuedomonas metabolite					food contact	yes		yes	yes		https://www.ncbi.nlm.nih.gov/pubmed/24297330
Spectral Match to Tauroursodeoxycholic acid from NIST14	Tauroursodeoxycholic acid	InChI=1S/C26H45NO6S/c1-16(4-7-23(30)27-12-13-34(31,32)33)19-5-6-20-24-21(9-11-26(19,20)3)25(2)10-8-18(28)14-17(25)15-22(24)29/h16-22,24,28-29H,4-15H2,1-3H3,(H,27,30)(H,31,32,33)/t16-,17+,18-,19-,20+,21+,22+,24+,25+,26-/m1/s1	CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C	lipid	bile acid	secondary conjugated bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/9848818#section=Top
Tauroursodeoxycholic acid	Tauroursodeoxycholic acid	InChI=1S/C26H45NO6S/c1-16(4-7-23(30)27-12-13-34(31,32)33)19-5-6-20-24-21(9-11-26(19,20)3)25(2)10-8-18(28)14-17(25)15-22(24)29/h16-22,24,28-29H,4-15H2,1-3H3,(H,27,30)(H,31,32,33)/t16-,17+,18-,19-,20+,21+,22+,24+,25+,26-/m1/s1	CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C	lipid	bile acid	secondary conjugated bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/9848818#section=Top
Ursodeoxycholic acid	Ursodeoxycholic acid / Ursodiol	InChI=1S/C24H40O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-20,22,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15+,16-,17-,18+,19+,20+,22+,23+,24-/m1/s1	CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C	lipid	bile acid	secondary bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/31401#section=Top
2-Heptyl-4-hydroxyquinoline N-oxide	4-hydroxy-2-heptylquinoline 1-oxide:Series 4 HAQ C7	InChI=1S/C16H21NO2/c1-2-3-4-5-6-9-13-12-16(18)14-10-7-8-11-15(14)17(13)19/h7-8,10-12,18H,2-6,9H2,1H3	OC1=C2C=CC=CC2=[N+]([O-])C(CCCCCCC)=C1			quinoline	bacteria	bacteria	bacteria produced	Psuedomonas metabolite						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/hqno
4-hydroxy-2-heptylquinoline 1-oxide:Series 4 HAQ C7	4-hydroxy-2-heptylquinoline 1-oxide:Series 4 HAQ C7	InChI=1S/C16H21NO2/c1-2-3-4-5-6-9-13-12-16(18)14-10-7-8-11-15(14)17(13)19/h7-8,10-12,18H,2-6,9H2,1H3	OC1=C2C=CC=CC2=[N+]([O-])C(CCCCCCC)=C1			quinoline	bacteria	bacteria	bacteria produced	Psuedomonas metabolite						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/hqno
4-hydroxy-2-octylquinoline 1-oxide:Series 4 HAQ C8	4-hydroxy-2-octylquinoline 1-oxide:Series 4 HAQ C8	InChI=1S/C17H23NO2/c1-2-3-4-5-6-7-10-14-13-17(19)15-11-8-9-12-16(15)18(14)20/h8-9,11-13,19H,2-7,10H2,1H3	OC1=C2C=CC=CC2=[N+]([O-])C(CCCCCCCC)=C1			quinoline	bacteria	bacteria	bacteria produced	Psuedomonas metabolite						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/hqno
2-(undec-1-en-1-yl)quinolin-4-ol:Series 2 HAQ C11:1	2-(undec-1-en-1-yl)quinolin-4-ol:Series 2 HAQ C11:1	InChI=1S/C20H27NO/c1-2-3-4-5-6-7-8-9-10-13-17-16-20(22)18-14-11-12-15-19(18)21-17/h10-16H,2-9H2,1H3,(H,21,22)/b13-10+	OC1=C2C=CC=CC2=NC(/C=C/CCCCCCCCC)=C1			quinoline	bacteria	bacteria	bacteria produced	Psuedomonas metabolite						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/hqno
NHQ	2-nonyl-1H-quinolin-4-one	InChI=1S/C18H25NO/c1-2-3-4-5-6-7-8-11-15-14-18(20)16-12-9-10-13-17(16)19-15/h9-10,12-14H,2-8,11H2,1H3,(H,19,20)	CCCCCCCCCC1=CC(=O)C2=CC=CC=C2N1			quinoline	bacteria	bacteria	bacteria produced	Psuedomonas metabolite						yes		yes	no		https://www.ncbi.nlm.nih.gov/pubmed/26022946;http://www.pnas.org/content/pnas/101/5/1339.full.pdf
mixedMS2: 2-(non-1-en-1-yl)quinolin-4-ol (Series 2 HAQ C9:1) and 2-nonylquinolin-4-ol (Series 1 HAQ C9 aka HNQ)	mixedMS2: 2-(non-1-en-1-yl)quinolin-4-ol (Series 2 HAQ C9:1) and 2-nonylquinolin-4-ol (Series 1 HAQ C9 aka HNQ)			literature limited		quinoline	bacteria	bacteria	bacteria produced	Psuedomonas metabolite						yes		yes	no		https://www.ncbi.nlm.nih.gov/pubmed/26022946;http://www.pnas.org/content/pnas/101/5/1339.full.pdf
7-Keto-3.alpha.,12-.alpha.-dihydroxycholanic acid	7-Ketodeoxycholic acid	InChI=1S/C24H38O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-18,20,22,25,27H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,20+,22+,23+,24-/m1/s1	CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(=O)CC4C3(CCC(C4)O)C)O)C	lipid	bile acid	secondary bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite						yes	yes	yes	no	7-Oxodeoxycholic acid	https://pubchem.ncbi.nlm.nih.gov/compound/188292
3.alpha.-Hydroxy-7-oxo-5.beta.-cholanic acid	7-Ketolithocholic acid	InChI=1S/C24H38O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-19,22,25H,4-13H2,1-3H3,(H,27,28)/t14?,15-,16+,17?,18?,19?,22?,23?,24?/m0/s1	CC(CCC(=O)O)C1CCC2C1(CCC3C2C(=O)CC4C3(CCC(C4)O)C)C	lipid	bile acid	secondary bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite						yes	no	yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/20763
Antipain	Antipain	InChI=1S/C27H44N10O6/c1-16(2)21(23(40)34-18(15-38)10-6-12-32-25(28)29)37-22(39)19(11-7-13-33-26(30)31)35-27(43)36-20(24(41)42)14-17-8-4-3-5-9-17/h3-5,8-9,15-16,18-21H,6-7,10-14H2,1-2H3,(H,34,40)(H,37,39)(H,41,42)(H4,28,29,32)(H4,30,31,33)(H2,35,36,43)/t18-,19-,20-,21-/m0/s1	CC(C)C(C(=O)NC(CCCN=C(N)N)C=O)NC(=O)C(CCCN=C(N)N)NC(=O)NC(CC1=CC=CC=C1)C(=O)O	amino acid / peptide	oligopeptide		bacteria	bacteria	bacteria produced	Actinomycetes metabolite						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/37817#section=InChI
Cytotrienin A	Cytotrienin A	InChI=1S/C37H48N2O8/c1-24-13-12-16-27-21-28(40)22-30(34(27)43)38-32(41)23-29(46-3)17-10-5-4-6-11-18-31(25(2)33(24)42)47-36(45)37(19-20-37)39-35(44)26-14-8-7-9-15-26/h4-6,10-11,13-14,17,21-22,25,29,31,33,40,42-43H,7-9,12,15-16,18-20,23H2,1-3H3,(H,38,41)(H,39,44)/b5-4+,11-6+,17-10+,24-13-/t25-,29-,31-,33-/m0/s1	CC1C(CC=CC=CC=CC(CC(=O)NC2=C(C(=CC(=C2)O)CCC=C(C1O)C)O)OC)OC(=O)C3(CC3)NC(=O)C4=CCCCC4	drug	drug		bacteria	bacteria	bacteria produced	Streptomyces metabolite					soy	yes		yes	no	ansamycin	https://pubchem.ncbi.nlm.nih.gov/compound/11966097#section=Top
Deoxycholic acid	Deoxycholic acid	InChI=1S/C24H40O4/c1-14(4-9-22(27)28)18-7-8-19-17-6-5-15-12-16(25)10-11-23(15,2)20(17)13-21(26)24(18,19)3/h14-21,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15-,16-,17+,18-,19+,20+,21+,23+,24-/m1/s1	CC(CCC(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C	lipid	bile acid	secondary bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/deoxycholic_acid
Desferrioxamine	Desferrioxamine	InChI=1S/C25H48N6O8/c1-21(32)29(37)18-9-3-6-16-27-22(33)12-14-25(36)31(39)20-10-4-7-17-28-23(34)11-13-24(35)30(38)19-8-2-5-15-26/h37-39H,2-20,26H2,1H3,(H,27,33)(H,28,34)	CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O	other	metal chelator		bacteria	bacteria	bacteria produced	bacteria produced, species unknown						yes	no	yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/2973#section=IUPAC-Name
Desferrioxamine A1	Desferrioxamine A1			other	metal chelator		bacteria	bacteria	bacteria produced	bacteria produced, species unknown						yes		yes	no		
Desferrioxamine D2	Desferrioxamine D2	InChI=1S/C26H46N6O9/c33-21-9-12-24(36)30(39)18-6-2-4-16-28-22(34)10-14-26(38)32(41)20-8-5-17-29-23(35)11-13-25(37)31(40)19-7-1-3-15-27-21/h39-41H,1-20H2,(H,27,33)(H,28,34)(H,29,35)	C1CCNC(=O)CCC(=O)N(CCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CC1)O)O)O	other	metal chelator		bacteria	bacteria	bacteria produced	bacteria produced, species unknown						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/14671620
